Road_Segment,Day_Type,Time_Slot,Traffic_Level,Weight,Latitude,Longitude
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.213800488,80.59829631
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.213441256,80.5983285
Geliioya Junction,Monday,4:15-4:45 PM,Moderate (Orange),2,7.212758668,80.59850423
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.214662877,80.59799905
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.214464542,80.59817379
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.214089768,80.59829957
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.213800003,80.59832802
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.213291663,80.59837839
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.212567762,80.59859723
Geliioya Junction,Monday,4:15-4:45 PM,Low (Green),1,7.214661086,80.59800563
Geliioya Junction,Monday,4:50-4:55 PM,Moderate (Orange),2,7.214667799,80.59803946
Geliioya Junction,Monday,4:50-4:55 PM,Moderate (Orange),2,7.214499979,80.59811389
Geliioya Junction,Monday,4:50-4:55 PM,Moderate (Orange),2,7.214517879,80.59814546
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.215008471,80.59797487
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214950293,80.59800419
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214706395,80.59800194
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214722058,80.598029
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214486334,80.59815632
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214272733,80.5982552
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.214034717,80.59829944
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.213931604,80.59830815
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.213470887,80.59834354
Geliioya Junction,Monday,4:50-4:55 PM,Low (Green),1,7.212364815,80.59863804
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214012202,80.59828394
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214205018,80.59825371
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214254415,80.59824344
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214342893,80.59820522
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214479933,80.59814152
Geliioya Junction,Monday,4:50-4:55 PM,High (Red),3,7.214479933,81.59814152
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214930567,80.59799689
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214792196,80.59801969
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214679105,80.59802371
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214592623,80.59806998
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214495498,80.59814575
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214667796,80.59801634
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214587966,80.59805791
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.21448818,80.59813838
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214357127,80.59819738
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214262662,80.59824633
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.214063089,80.5982812
Geliioya Junction,Monday,4:56-5:05 PM,Moderate (Orange),2,7.213389318,80.59832943
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.214934498,80.59798142
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.21479241,80.59800398
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.214685006,80.59800736
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.214493116,80.59814834
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.21428556,80.59824423
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.214004827,80.5983019
Geliioya Junction,Monday,4:56-5:05 PM,Low (Green),1,7.21383785,80.59831799
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214925866,80.5980028
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214794966,80.5980231
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214680848,80.59802761
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214596938,80.59807046
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214502959,80.59814715
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214665185,80.59801295
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214487296,80.59813023
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214270248,80.59823511
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.214016281,80.59827796
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.213752858,80.59830072
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.21374345,80.59830262
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.213452415,80.59833358
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.212939773,80.59844682
Geliioya Junction,Monday,5:06-5:15 PM,Moderate (Orange),2,7.21240199,80.59858593
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.214934498,80.59798142
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.21479241,80.59800398
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.214685006,80.59800736
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.214493116,80.59814834
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.21428556,80.59824423
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.214004827,80.5983019
Geliioya Junction,Monday,5:06-5:15 PM,Low (Green),1,7.21383785,80.59831799
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214012202,80.59828394
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214205018,80.59825371
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214254415,80.59824344
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214342893,80.59820522
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214479933,80.59814152
Geliioya Junction,Monday,5:16-5:25 PM,High (Red),3,7.214479933,81.59814152
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.215497326,80.59798525
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214949167,80.598
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214804144,80.59802146
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214487488,80.59815691
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214273279,80.59825749
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214012504,80.59830443
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214012202,80.59828394
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214205018,80.59825371
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214254415,80.59824344
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214342893,80.59820522
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214479933,80.59814152
Geliioya Junction,Monday,5:26-5:50 PM,High (Red),3,7.214479933,81.59814152
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.213980329,80.59828248
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.213364987,80.59833661
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.212525883,80.59857118
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.211857721,80.59861057
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214500987,80.59812354
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214668808,80.59800851
Geliioya Junction,Monday,5:26-5:50 PM,Moderate (Orange),2,7.214879142,80.5979837
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.215501989,80.59795908
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.214961813,80.59796981
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.214786188,80.59802881
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.214645157,80.59805564
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.214512108,80.59813878
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.213985235,80.59831313
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.213335956,80.59836543
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.212720791,80.59854404
Geliioya Junction,Monday,5:26-5:50 PM,Low (Green),1,7.212259843,80.59863365
Geliioya Junction,Monday,5:51-6:00 PM,Moderate (Orange),2,7.214468666,80.59813629
Geliioya Junction,Monday,5:51-6:00 PM,Moderate (Orange),2,7.213749897,80.5982956
Geliioya Junction,Monday,5:51-6:00 PM,Moderate (Orange),2,7.213302077,80.59833733
Geliioya Junction,Monday,5:51-6:00 PM,Moderate (Orange),2,7.21266986,80.59853457
Geliioya Junction,Monday,5:51-6:00 PM,Moderate (Orange),2,7.211868298,80.59860285
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.211834429,80.59863889
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.212391383,80.59861802
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.212737598,80.59854975
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.213264445,80.59838095
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.213772477,80.59832405
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214047969,80.59829939
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214263919,80.59825399
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214490767,80.59814872
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214674375,80.59802467
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214794784,80.59801863
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214924506,80.59799784
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214918519,80.59798577
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214790792,80.59800991
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214675705,80.59801192
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214585897,80.59806289
Geliioya Junction,Monday,5:51-6:00 PM,Low (Green),1,7.214490767,80.59813598
Geliioya Junction,Monday,6:01-6:25 PM,Moderate (Orange),2,7.214473794,80.59813655
Geliioya Junction,Monday,6:01-6:25 PM,Moderate (Orange),2,7.214261174,80.59823518
Geliioya Junction,Monday,6:01-6:25 PM,Moderate (Orange),2,7.214016567,80.59828259
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.211834429,80.59863889
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.212391383,80.59861802
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.212737598,80.59854975
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.213264445,80.59838095
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.213772477,80.59832405
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214047969,80.59829939
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214263919,80.59825399
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214490767,80.59814872
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214674375,80.59802467
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214794784,80.59801863
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214924506,80.59799784
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214918519,80.59798577
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214790792,80.59800991
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214675705,80.59801192
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214585897,80.59806289
Geliioya Junction,Monday,6:01-6:25 PM,Low (Green),1,7.214490767,80.59813598
Geliioya Junction,Monday,6:26-6:35 PM,Moderate (Orange),2,7.214479439,80.59813655
Geliioya Junction,Monday,6:36-7:10 PM,Moderate (Orange),2,7.214266819,80.59823138
Geliioya Junction,Monday,6:36-7:10 PM,Moderate (Orange),2,7.214093712,80.59827121
Geliioya Junction,Monday,6:36-7:10 PM,Moderate (Orange),2,7.214007159,80.59828449
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.211834429,80.59863889
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.212391383,80.59861802
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.212737598,80.59854975
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.213264445,80.59838095
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.213772477,80.59832405
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214047969,80.59829939
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214263919,80.59825399
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214490767,80.59814872
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214674375,80.59802467
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214794784,80.59801863
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214924506,80.59799784
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214918519,80.59798577
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214790792,80.59800991
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214675705,80.59801192
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214585897,80.59806289
Geliioya Junction,Monday,7:11-10:00 PM,Low (Green),1,7.214490767,80.59813598
Ambekke Road,Monday,6:00-10:40 AM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,6:00-10:40 AM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,6:00-10:40 AM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,6:00-10:40 AM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,11:00-11:05 AM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,11:07-11:10 AM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,11:20-11:30 AM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,11:20-11:30 AM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,11:20-11:30 AM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,11:35-11:40 AM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,11:35-11:40 AM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,11:35-11:40 AM,Low (Green),1,7.213351299,80.59460552
Ambekke Road,Monday,11:40-11:55 AM,Low (Green),1,7.213780303,80.59517071
Ambekke Road,Monday,11:55-12:00 AM,Low (Green),1,7.214073252,80.59618553
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214274582,80.5968702
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214411939,80.59744298
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214654664,80.59798731
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,12:05-12:15 AM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,12:16-3:30 PM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,12:16-3:30 PM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,12:16-3:30 PM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,12:16-3:30 PM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,3:30-3:40 PM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,3:30-3:40 PM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,3:30-3:40 PM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,3:45-3:50 PM,Low (Green),1,7.213351299,80.59460552
Ambekke Road,Monday,3:45-3:50 PM,Low (Green),1,7.213780303,80.59517071
Ambekke Road,Monday,3:45-3:50 PM,Low (Green),1,7.214073252,80.59618553
Ambekke Road,Monday,3:45-3:50 PM,Low (Green),1,7.214274582,80.5968702
Ambekke Road,Monday,3:45-3:50 PM,Low (Green),1,7.214411939,80.59744298
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.214654664,80.59798731
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.213351299,80.59460552
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.213780303,80.59517071
Ambekke Road,Monday,3:55-4:15 PM,Low (Green),1,7.214073252,80.59618553
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214274582,80.5968702
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214411939,80.59744298
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214654664,80.59798731
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,4:15-4:45 PM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213351299,80.59460552
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213780303,80.59517071
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214073252,80.59618553
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214274582,80.5968702
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214411939,80.59744298
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214654664,80.59798731
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213351299,80.59460552
Ambekke Road,Monday,4:50-4:55 PM,Low (Green),1,7.213780303,80.59517071
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214073252,80.59618553
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214274582,80.5968702
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214411939,80.59744298
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214654664,80.59798731
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.21468382,80.59797355
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214344162,80.59723694
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214272661,80.59674192
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.214069449,80.59605535
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.213871882,80.59538774
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.213623511,80.59478652
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.213299877,80.59453806
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.212711556,80.59419964
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.212429316,80.59384308
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.212406737,80.59385446
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.212711556,80.59421482
Ambekke Road,Monday,4:56-5:05 PM,Low (Green),1,7.213351299,80.59460552
